Id,Label,timeset ,value,eigencentrality,Rating,Author,Summary
46,Power Plays,,n,0.234675,4.9,Tricia Owens,"As a bodyguard of the rich and famous in Las Vegas, Ethan has got his work cut out for him. But his greatest challenge lies in his relationship with his boss, the intimidating dominant, Maxmillian Poole. Six short stories and novelettes explore the highly sexed, highly emotional bond between two men who must balance dangerous careers with an undercover romance in the most exciting city on Earth. Contains scenes of domination and submission."
47,Arrogance,,c,0.7219,3.5,Joanna Scott,"In Joanna Scott's breakthrough novel Arrogance, the Austrian artist Egon Schiele comes to prismatic life in a narrative that defies convention, history, and identity. A self-professed genius and student of August Klimt, Scott's Schiele repeatedly challenges the boundaries of early twentieth-century Europe. Thrown in jail on charges of immorality, Schiele's Mephistophelean reputation only grows in stature until at the age of twenty-eight, the artist dies in the Great Flu Pandemic. Told from a crosscurrent of voices, viewpoints and times, this stunning novel won Scott a nomination for the 1991 PEN/Faulkner Award."
48,The Perfect Wife,,n,0.136624,4.5,Blake Pierce ,"Criminal profiler in training (and newlywed) Jessie Hunt, 29, discovers that dark secrets lurk in her new suburban town; when a body turns up dead, she finds herself caught in the crosshairs of her newfound friends, her husband’s secrets, her serial killer caseload—and the secrets of her own dark past. In THE PERFECT WIFE (A Jessie Hunt Psychological Suspense Thriller—Book One), Criminal profiler-in-training Jessie Hunt is sure she's finally put the darkness of her childhood behind her. She and her husband, Kyle, just moved from a cramped downtown Los Angeles apartment into a Westport Beach mansion. Kyle's promotion has them swimming in money. And Jessie is on the verge of getting her Master's degree in forensic psychology, the last step in her dream of becoming a criminal profiler.  But soon after their arrival, Jessie begins to notice a series of strange developments. The neighbors—and their au pairs—all seem to be hiding secrets. The mysterious yacht club Kyle is desperate to join is rife with cheating spouses, and with troubling rules of its own. And the notorious serial killer being held at the psychiatric hospital where Jessie is completing her degree seems to know more about her life than is normal—or safe.  As her world starts to unravel, Jessie begins to question everything around her—including her own sanity. Has she truly uncovered a disturbing conspiracy buried within a sunny, wealthy Southern California beach town? Does the mass murderer she's studying really somehow know the origin of her private nightmares? Or has her tortured past finally come back to claim her? Book #2--THE PERFECT BLOCK--is also now available! A fast-paced psychological suspense thriller with unforgettable characters and heart-pounding suspense, THE PERFECT WIFE is book #1 in a riveting new series that will leave you turning pages late into the night."
49,The Bushes,,c,0.323837,4.2,Peter Schweizer,"Get the inside story on America’s most powerful political dynasty. President George W. Bush leads our nation in a time of unprecedented peril. But how well do we really know him or his remarkable family, whose history often mirrors the history of America? Now, in the first full-scale biography of the Bushes, Peter and Rochelle Schweizer trace the extraordinary trajectory of their rise to power. Through a series of exclusive, surprisingly candid interviews with members of the family and close friends, the inner workings of this very private family are revealed: their marriages and friendships; the intense sibling rivalry between George W. and Jeb Bush; divisions between father and son over the Iraq war; even Jeb Bush’s plans to run for president in 2008. Never-before-seen private photos add even greater detail and depth to this fascinating family portrait. And above all, we see George W. Bush the way his family does, as an intensely driven person who has a much more complex relationship with his father than has often been portrayed in the media. Family members talk about how he deals with the stresses of the war on terrorism, why he sees it as a “religious war,” and how his personal faith influences what he says and does. The Schweizers also delve into the Bushes’ sensitive and secret business dealings, including their long history of involvement in the oil business. Their shrewd alliances with other American dynasties—including the Kennedys, Rockefellers, and Tafts—have all helped to quietly consolidate their power within the Republican Party. Indeed, what makes the Bushes so successful is that they function less like the great political families before them and more like a high-tech startup: free-flowing, pragmatic, and opportunistic. It is this distinction that assures them an enduring presence on the nation’s political stage, making The Bushes essential reading for anyone who cares about America’s future."
50,Things Worth Fighting For,,c,0.150141,5,Michael Kelly,"A variety of political, international, and personal topics is covered in this collection of magazine and newspaper stories, articles, and columns by the notable journalist, killed in 2003 while covering the Iraq war, displaying his gift for getting to the heart of the matter through candor and wit in his writing. 25,000 first prinitng."
51,"Surprise, Security, the American Experience",,n,0.141183,3.9,John Lewis Gaddis,"September 11, 2001, distinguished Cold War historian John Lewis Gaddis argues, was not the first time a surprise attack shattered American assumptions about national security and reshaped American grand strategy. We've been there before, and have responded each time by dramatically expanding our security responsibilities. The pattern began in 1814, when the British attacked Washington, burning the White House and the Capitol. This early violation of homeland security gave rise to a strategy of unilateralism and preemption, best articulated by John Quincy Adams, aimed at maintaining strength beyond challenge throughout the North American continent. It remained in place for over a century. Only when the Japanese attacked Pearl Harbor in 1941 did the inadequacies of this strategy become evident: as a consequence, the administration of Franklin D. Roosevelt devised a new grand strategy of cooperation with allies on an intercontinental scale to defeat authoritarianism. That strategy defined the American approach throughout World War II and the Cold War. The terrorist attacks of 9/11, Gaddis writes, made it clear that this strategy was now insufficient to ensure American security. The Bush administration has, therefore, devised a new grand strategy whose foundations lie in the nineteenth-century tradition of unilateralism, preemption, and hegemony, projected this time on a global scale. How successful it will be in the face of twenty-first-century challenges is the question that confronts us. This provocative book, informed by the experiences of the past but focused on the present and the future, is one of the first attempts by a major scholar of grand strategy and international relations to provide an answer."
52,Allies,,c,0.149079,4.4,Alan Gratz,"Alan Gratz, bestselling author of Refugee, weaves a stunning array of voices and stories into an epic tale of teamwork in the face of tyranny -- and how just one day can change the world. June 6, 1944: The Nazis are terrorizing Europe, on their evil quest to conquer the world. The only way to stop them? The biggest, most top-secret operation ever, with the Allied nations coming together to storm German-occupied France. Welcome to D-Day. Dee, a young U.S. soldier, is on a boat racing toward the French coast. And Dee -- along with his brothers-in-arms -- is terrified. He feels the weight of World War II on his shoulders. But Dee is not alone. Behind enemy lines in France, a girl named Samira works as a spy, trying to sabotage the German army. Meanwhile, paratrooper James leaps from his plane to join a daring midnight raid. And in the thick of battle, Henry, a medic, searches for lives to save. In a breathtaking race against time, they all must fight to complete their high-stakes missions. But with betrayals and deadly risks at every turn, can the Allies do what it takes to win?"
53,Why Courage Matters,,c,0.237547,4.4,John McCain,"NEW YORK TIMES BESTSELLER • In this inspiring meditation on courage, Senator John McCain shares his most cherished stories of ordinary individuals who have risked everything to defend the people and principles they hold most dear. “We are taught to understand, correctly, that courage is not the absence of fear but the capacity for action despite our fears,” McCain reminds us, as a way of introducing the stories of ?gures both famous and obscure that he ?nds most compelling—from the Nobel Peace Prize laureate Aung San Suu Kyi to Sgt. Roy Benavidez, who ignored his own well-being to rescue eight of his men from an ambush in the Vietnam jungle; from 1960s civil rights leader John Lewis, who wrote, “When I care about something, I’m prepared to take the long, hard road,” to Hannah Senesh, who, in protecting her comrades in the Hungarian resistance against Hitler’s SS, chose a martyr’s death over a despot’s mercy. These are some of the examples McCain turns to for inspiration and offers to others to help them summon the resolve to be both good and great. He explains the value of courage in both everyday actions and extraordinary feats. We learn why moral principles and physical courage are often not distinct quantities but two sides of the same coin. Most of all, readers discover how sometimes simply setting the right example can be the ultimate act of courage. Written by one of our most respected public ?gures, Why Courage Matters is that rare book with a message both timely and timeless. This is a work for anyone seeking to understand how the mystery and gift of courage can empower us and change our lives. Praise for Why Courage Matters “[John] McCain the man remains one of the most inspiring public figures of his generation.”—The Washington Post Book World “Thrilling . . . John McCain’s profiles in courage offer inspiration. . . . A marvelous collection of stories featuring honest-to-God heroes.”—Fort Worth Star-Telegram “Extraordinary . . . McCain proves how courage can change lives and improve the world.”—New York Daily News “[McCain] is open and candid, a refuge from spin and arrogance.”—The Washington Post “Wise words from a man who personifies courage.”—The Sunday Oklahoman"
54,Hollywood Interrupted,,c,0.31847,3.7,Andrew Breitbart,"Hollywood, Interrupted is a sometimes frightening, occasionally sad, and frequently hysterical odyssey into the darkest realms of showbiz pathology, the endless stream of meltdowns and flameouts, and the inexplicable behavior on the part of show business personalities. Charting celebrities from rehab to retox, to jails, cults, institutions, near-death experiences and the Democratic Party, Hollywood, Interrupted takes readers on a surreal field trip into the amoral belly of the entertainment industry. Each chapter — covering topics including warped Hollywood child-rearing, bad medicine, hypocritical political maneuvering and the complicit media — delivers a meticulously researched, interview-infused, attitude heavy dispatch which analyzes and deconstructs the myths created by the celebrities themselves. Celebrities somehow believe that it's their god-given right to inflict their pathology on the rest of us. Hollywood, Interrupted illustrates how these dysfunctional dilettantes are mad as hell... And we're not going to take it any more."
55,Fighting Back,,c,0.165627,5, Kayla Harrison ,"Two-time Olympic gold medalist Kayla Harrison has always been a fighter--yet as a young teen, no one knew she was also a victim. Combining Kayla's powerful story of sexual abuse by her judo coach with science-based information from two renowned therapists, this unique book provides critical guidance for parents and professionals. Learn how to spot the signs that a child or teen is being groomed, why kids stay silent about their trauma, how they struggle with self-blame and the brutal betrayal of a trusted authority figure, and exactly what kind of help they need to recover. No one is more qualified than Kayla and her expert coauthors to explain the impact of child sexual abuse--and what you can do to keep kids safe."
56,We Will Prevail,,c,0.110635,2.9,George W. Bush,"Here are the authorized major speeches and statements by President George W. Bush on the most important issue facing the United States and perhaps the world today: global terrorism. The book begins with the terrible events of September 11, 2001, and concludes on Memorial Day, May 31, 2003, following the end of the war in Iraq. We Will Prevail is a definitive and timely record of the new foreign-policy doctrines and international direction of the United States since 9/11. It is inspiring, in the words of praise from President Bush for the people who lost their lives on that day - many in service to others - as well as in the global war on terror. This book is certain to spark controversy and be studied for years to come. The White House counsel has approved this publication which includes State of the Union addresses from 2002 and 2003 as well as the speech from the deck of the aircraft carrier USS Abraham Lincoln."
57,The Faith of George W Bush,,c,0.13799,4,Stephen Mansfield,"NEW YORK TIMES BEST SELLER His faith sets him apart and defines him as a man, a husband, a father, and the president of the United States of America. What is the influence of Bush’s faith upon history? Is he an aberration? Can he really apply biblical truths to political decisions? In this incredible book, the man emerges, not just because of faith, but because in finding faith, he has discovered who he is and has stepped forward to become the man of his own vision. "
58,Rise of the Vulcans,,c,0.30687,4.2,James Mann,"When George W. Bush campaigned for the White House, he was such a novice in foreign policy that he couldn't name the president of Pakistan and momentarily suggested he thought the Taliban was a rock-and-roll band. But he relied upon a group called the Vulcans—an inner circle of advisers with a long, shared experience in government, dating back to the Nixon, Ford, Reagan and first Bush administrations. After returning to power in 2001, the Vulcans were widely expected to restore U.S. foreign policy to what it had been under George H. W. Bush and previous Republican administrations. Instead, the Vulcans put America on an entirely new and different course, adopting a far-reaching set of ideas that changed the world and America's role in it. Rise of the Vulcans is nothing less than a detailed, incisive thirty-five-year history of the top six members of the Vulcans—Dick Cheney, Donald Rumsfeld, Colin Powell, Paul Wolfowitz, Richard Armitage, and Condoleezza Rice—and the era of American dominance they represent. It is the story of the lives, ideas and careers of Bush's war cabinet—the group of Washington insiders who took charge of America's response to September 11 and led the nation into its wars in Afghanistan and Iraq. Separately, each of these stories sheds astonishing light not only on the formative influences that brought these nascent leaders from obscurity to the pinnacle of power, but also on the experiences, conflicts and competitions that prefigured their actions on the present world stage. Taken together, the individuals in this book represent a unique generation in American history—a generation that might be compared to the ""wise men"" who shaped American policy after World War II or the ""best and brightest"" who prosecuted the war in Vietnam. Over the past three decades, since the time of Vietnam, these individuals have gradually led the way in shaping a new vision of an unchallengeable America seeking to dominate the globe through its military power."
59,Downsize This!,,l,0.10003,3.7,Michael Moore,"A scathing rebuttal to the ""Newtification"" of America, and hilarious proof of why Michael Moore is the unofficial champion of the largest political force in the nation--the 60 percent of voters who elect not to vote--Downsize This! gets under the skin of the corporations, politicians, and media moralists who have made life miserable for millions of Americans. Line drawings & photos. Map. NPR sponsorship."
60,Stupid White Men,,l,0.216595,3.6,Michael Moore,"In the winter of 2002, Stupid White Men took America - and the world - by storm. Tired and skeptical of George W. Bush's high approval ating, frightened by the implications of the Enron scandal - and generally just looking for a voice of honest dissent in the thick atmosphere of jingoism that followed 9/11 - book buyers from coast to coast swiftly embraced Michael Moore's in-your-face anti-Bush-era manifesto, making it one of the bestselling nonfiction books of the year. With an unerring eye for greed, hypocrisy, and corruption, Michael Moore takes on the whole ugly mess of America at the dawn of the twenty-first century. Whether he's demanding U.N. action to overthrow the Bush Family Junta or calling on African Americans to place whites only signs over the entrances of unfriendly businesses, Stupid White Men is a pitch-perfect skewering of our culture of Malfeasance and Mediocrity."
61,Rush Limbaugh Is a Big Fat Idiot,,l,0.092276,3.8,Al Franken,"In the grand satirical tradition of Swift, Rabelais, and Twain comes...Rush Limbaugh Is a Big Fat Idiot, and Other Observations...a scathing--but uncompromisingly fair--look at America's largest talk show host and the rest of the Republican right. Penned by the Emmy award-winning Saturday Night Live writer whom John Podhoretz of the New York Post has called ""the man responsible for some of the most brilliant political satire of our time,"" Rush Limbaugh Is a Big Fat Idiot tackles the issues--and the politicians--in ways few have dared...Exploding Medicare Costs: ""Why not shoot the elderly into space?  Stay with me.  Because I'm not just thinking about the budget here.  I'm talking about science.  Just think how many more manned space operations NASA could undertake if they didn't have to worry about getting the astronauts back."" Crime: ""I have a radical gun-buyback idea that I guarantee would be a huge success.  Here's how it works: hand in a gun, get a free vial of crack."" Newt Gingrich: ""Many of us, like Newt, have acknowledged smoking dope and reading Toffler in the early 70s.  But after reading his book, I think Newt's dirty little secret is that he smoked dope and watched The Jetsons."" Phil Gramm: ""If you get beyond the fact the Gramm is ugly, mean, hypocritical, has a boob fetish, and drives his wife like a mule, he does have a certain folksy charm."" On the subject of Rush Limbaugh, Franken lets the facts speak for themselves. Listen to Rush, the ""rugged individualist"" and enemy of government handouts, explain how his second wife made him stop sitting around the house eating just food and go file for unemployment insurance.  And learn all of Rush's several explanations for how he avoided the draft. Of course, when it comes to draft-dodging Republicans, Rush isn't alone. Reading Al's Vietnam short story, ""Operation Chickenhawk,"" you'll savor the exploits of Privates Limbaugh, Gramm, Quayle, Buchanan, Gingrich, and George Will as Lieutenant Oliver North leads them kicking and screaming into combat. And don't miss Al's informative discussion with the man who has ""the easiest job in America"": Rush Limbaugh's fact-checker.  And much, much more."
62,The Best Democracy Money Can Buy,,l,0.208176,4.3,Greg Palast,"Greg Palast digs deep to unearth the ugly facts that few reporters working anywhere in the world today have the courage or ability to cover. From East Timor to Waco, Karachi to Santiago, he has exposed some of the most egregious cases of political corruption, corporate fraud, and financial manipulation, globally. His uncanny investigative skills as well as his acerbic wit and no-holds-barred style have made him an anathema among magnates on four continents and a living legend among his colleagues and his devoted readership, worldwide. This exciting new collection brings together some of Palast's most powerful and influential writing of the past decade. His columns in the Observer have a cult following and he made headline news when he went undercover for the Observer to break open the 'Lobbygate' scandal of corruption inside the Blair Cabinet. Included here are his reports on that story, which earned him the distinction of being the first journalist ever to be personally attacked on the floor of Parliament by a prime minister; his celebrated Washington Post exposé on Jeb Bush and Katherine Harris's stealing of the presidential election in Florida, which made him ""a legend and a hero on the Internet"" (Alan Colmes / Fox Radio) when it ran in Salon.com; and recent stories on George W. Bush's pay-offs to corporate cronies, and the business-created 'energy crisis.' Also included in this volume are new and previously unpublished material, television transcripts, photographs, and letters."
63,The Culture of Fear,,l,0.091882,3.6,Barry Glassner,"In the age of 9/11, the Iraq War, financial collapse, and Amber Alerts, our society is defined by fear. So it's not surprising that three out of four Americans say they feel more fearful today then they did twenty years ago. But are we living in exceptionally dangerous times? In The Culture of Fear, sociologist Barry Glassner demonstrates that it is our perception of danger that has increased, not the actual level of risk. Glassner exposes the people and organizations that manipulate our perceptions and profit from our fears, including advocacy groups that raise money by exaggerating the prevalence of particular diseases and politicians who win elections by heightening concerns about crime, drug use, and terrorism. In this new edition of a classic book—more relevant now than when it was first published—Glassner exposes the price we pay for social panic."
64,America Unbound,,l,0.210004,3.6,Ivo H. Daalder,"A splendidly illuminating book.—The New York Times Like it or not, George W. Bush has launched a revolution in American foreign policy. He has redefined how America engages the world, shedding the constraints that friends, allies, and international institutions once imposed on its freedom of action. In America Unbound, Ivo Daalder and James Lindsay caution that the Bush revolution comes with serious risks–and, at some point, we may find that America’s friends and allies will refuse to follow his lead, leaving the U.S. unable to achieve its goals. This edition has been extensively revised and updated to include major policy changes and developments since the book’s original publication."
65,The Choice,,l,0.118441,4.5,Nicholas Sparks,"Opposites attract in this moving #1 New York Times bestseller of love lost and found between a medical student and the man who captures her heart. Travis Parker has everything a man could want: a good job, loyal friends, even a waterfront home in small-town North Carolina. In full pursuit of the good life - boating, swimming , and regular barbecues with his good-natured buddies -- he holds the vague conviction that a serious relationship with a woman would only cramp his style. That is, until Gabby Holland moves in next door.  Spanning the eventful years of young love, marriage and family, THE CHOICE ultimately confronts us with the most heart-wrenching question of all: how far would you go to keep the hope of love alive?"
66,The Great Unraveling,,l,0.862778,3.7,Paul R. Krugman,"Paul Krugman is a hero of mine. Read his book.?Al Franken No one has more authority to call the shots the way they really are than award-winning economist Paul Krugman, whose provocative New York Times columns are keenly followed by millions. One of the world's most respected economists, Krugman has been named America's most important columnist by the Washington Monthly and columnist of the year by Editor and Publisher magazine. A major bestseller, this influential and wide-ranging book has been praised by BusinessWeek as Krugman's ""most provocative and compelling effort yet,"" the New York Review of Books as ""refreshing,"" and Library Journal as ""thought-provoking...even funny."" The American Prospect put it in vivid terms: ""In a time when too few tell it like it is...[Krugman] has taken on the battle of our time."" Built from Paul Krugman's influential Op-Ed columns for the New York Times, this book galvanized the reading public. With wit, passion, and a unique ability to explain complex issues in plain English, Krugman describes how the nation has been misled by a dishonest administration. In this long-awaited work containing Krugman's most influential columns along with new commentary, he chronicles how the boom economy unraveled: how exuberance gave way to pessimism, how the age of corporate heroes gave way to corporate scandals, how fiscal responsibility collapsed. From his account of the secret history of the California energy crisis to his devastating dissections of dishonesty in the Bush administration, from the war in Iraq to the looting of California to the false pretenses used to sell an economic policy that benefits only a small elite, Krugman tells the uncomfortable truth like no one else. And he gives us the road map we will need to follow if we are to get the country back on track. The paperback edition features a new introduction as well as new writings."
67,Rogue Nation,,l,0.185622,4.1,Clyde V. Prestowitz,"America's democratic ideals have long been the hope of the world, but our allies increasingly see us as abandoning those ideals. It's not hard to understand why. In the months before 9/11, the United States walked away from a number of international treaties including the Kyoto Accord. After the attack, the United States turned a cold shoulder to NATO's offers to assist with the invasion of Afghanistan, unilaterally terminated the ABM treaty, and actively opposed the creation of an International Criminal Court. Then came the war on Iraq, begun despite the clear refusal of the United Nations Security Council to authorize an invasion.Obsessed with our own immediate military and economic security, we now deem institutions like NATO and the UN irrelevant. We have abandoned containment for a policy of preventive attacks on potential threats. More and more, we act alone, with little regard for the needs and goals of other nations.Rogue Nation is not an argument against American dominance or the exercise of American power. It's an argument against stupidity, arrogance, and ignorance in the exercise of power. Prestowitz explores the historical roots of the unilateral impulse and shows how it now influences every important area of American foreign policy. Even now, when the need for multilateral action has never been greater, we continue to act contrary to international law, custom, and our own best interests."
68,Soft Power,,l,0.113258,4.1,Joseph S. Nye Jr.,"Joseph Nye coined the term ""soft power"" in the late 1980s. It is now used frequently—and often incorrectly—by political leaders, editorial writers, and academics around the world. So what is soft power? Soft power lies in the ability to attract and persuade. Whereas hard power—the ability to coerce—grows out of a country's military or economic might, soft power arises from the attractiveness of a country's culture, political ideals, and policies. Hard power remains crucial in a world of states trying to guard their independence and of non-state groups willing to turn to violence. It forms the core of the Bush administration's new national security strategy. But according to Nye, the neo-conservatives who advise the president are making a major miscalculation: They focus too heavily on using America's military power to force other nations to do our will, and they pay too little heed to our soft power. It is soft power that will help prevent terrorists from recruiting supporters from among the moderate majority. And it is soft power that will help us deal with critical global issues that require multilateral cooperation among states. That is why it is so essential that America better understands and applies our soft power. This book is our guide."
69,Colossus,,n,0.079047,4.1,Michael Hiltzik,"As breathtaking today as when it was completed, Hoover Dam ranks among America’s most awe-inspiring, if dubious, achievements. This epic story of the dam—from conception to design to construction—by Pulitzer Prize–winning journalist and Los Angeles Times columnist Michael Hiltzik exposes the tremendous hardships and accomplishments of the men on the ground—and in the air—who built the dam and the demonic drive of Frank Crowe, the boss who pushed them beyond endurance. It is a tale of the tremendous will exerted from start to finish, detailing the canny backroom dealings by Herbert Hoover and Franklin D. Roosevelt, the herculean engineering challenges Crowe faced, and the terrific union strikes by the men who daily fought to beat back the Colorado River. Colossus tells an important part of the story of America’s struggle to pull itself out of the Great Depression by harnessing the power of its population and its natural resources."
70,The Sorrows of Empire,,l,0.379644,4.4,Chalmers Johnson,"Impressive . . . a powerful indictment of U.S. military and foreign policy.-Los Angeles Times Book Review, front page In the years after the Soviet Union imploded, the United States was described first as the globe's ""lone superpower,"" then as a ""reluctant sheriff,"" next as the ""indispensable nation,"" and in the wake of 9/11, as a ""New Rome."" In this important national bestseller, Chalmers Johnson thoroughly explores the new militarism that is transforming America and compelling us to pick up the burden of empire. Recalling the classic warnings against militarism-from George Washington's Farewell Address to Dwight Eisenhower's denunciation of the military-industrial complex-Johnson uncovers its roots deep in our past. Turning to the present, he maps America's expanding empire of military bases and the vast web of services that support them. He offers a vivid look at the new caste of professional militarists who have infiltrated multiple branches of government, who classify as ""secret"" everything they do, and for whom the manipulation of the military budget is of vital interest. Among Johnson's provocative conclusions is that American militarism is already putting an end to the age of globalization and bankrupting the United States, even as it creates the conditions for a new century of virulent blowback. The Sorrows of Empire suggests that the former American republic has already crossed its Rubicon-with the Pentagon in the lead."
71,Against All Enemies,,l,0.628468,4.3, Richard A. Clarke ,"The [Bush] administration has squandered the opportunity to eliminate al Qaeda....A new al Qaeda has emerged and is growing stronger, in part because of our own actions and inactions. It is in many ways a tougher opponent than the original threat we faced before September 11, and we are not doing what is necessary to make America safe from that threat.  No one has more authority to make that claim than Richard Clarke, the former counterterrorism czar for both Bill Clinton and George W. Bush. The one person who knows more about Usama bin Laden and al Qaeda than anyone else in this country, he has devoted two decades of his professional life to combating terrorism. Richard Clarke served seven presidents and worked inside the White House for George H.W. Bush, Bill Clinton, and George W. Bush until he resigned in March 2003. He knows, better than anyone, the hidden successes and failures of the Clinton years. He knows, better than anyone, why we failed to prevent 9/11. He knows, better than anyone, how President Bush reacted to the attack and what happened behind the scenes in the days that followed. He knows whether or not Iraq presented a terrorist threat to the United States and whether there were hidden costs to the invasion of that country. Most disturbing of all are Clarke's revelations about the Bush administration's lack of interest in al Qaeda prior to September 11. From the moment the Bush team took office and decided to retain Clarke in his post as the counterterrorism czar, Clarke tried to persuade them to take al Qaeda as seriously as had Bill Clinton. For months, he was denied the opportunity even to make his case to Bush. He encountered key officials who gave the impression that they had never heard of al Qaeda; who focused incessantly on Iraq; who even advocated long-discredited conspiracy theories about Saddam's involvement in previous attacks on the United States. Clarke was the nation's crisis manager on 9/11, running the Situation Room -- a scene described here for the first time -- and then watched in dismay at what followed. After ignoring existing plans to attack al Qaeda when he first took office, George Bush made disastrous decisions when he finally did pay attention. Coming from a man known as one of the hard-liners against terrorists, Against All Enemies is both a powerful history of our two-decades-long confrontation with terrorism and a searing indictment of the current administration."
72,American Dynasty,,l,0.90727,3.9, Kevin Phillips,"The Bushes are the family nobody really knows, says Kevin Phillips. This popular lack of acquaintance—nurtured by gauzy imagery of Maine summer cottages, gray-haired national grandmothers, July Fourth sparklers, and cowboy boots—has let national politics create a dynasticized presidency that would have horrified America's founding fathers. They, after all, had led a revolution against a succession of royal Georges.In this devastating book, onetime Republican strategist Phillips reveals how four generations of Bushes have ascended the ladder of national power since World War One, becoming entrenched within the American establishment—Yale, Wall Street, the Senate, the CIA, the vice presidency, and the presidency—through a recurrent flair for old-boy networking, national security involvement, and political deception. By uncovering relationships and connecting facts with new clarity, Phillips comes to a stunning conclusion: The Bush family has systematically used its financial and social empire—its ""aristocracy""—to gain the White House, thereby subverting the very core of American democracy. In their ambition, the Bushes ultimately reinvented themselves with brilliant timing, twisting and turning from silver spoon Yankees to born-again evangelical Texans. As America—and the world—holds its breath for the 2004 presidential election, American Dynasty explains how it happened and what it all means."
73,Big Lies,,l,0.945816,4.2,Joe Conason,"In Big Lies, Joe Conason rips through the ten most damaging lies perpetrated by the right wing propaganda machine. This scathing, fact-filled analysis debunks it all: - The myth that Republicans are fiscal geniuses and champions of free enterprise. - The right's self-proclaimed monopoly on ""family values.""- The conservative smearing of liberals as unpatriotic and anti-American.- And of course, the ""compassionate conservatism"" of George W. Bush. (It depends on the meaning of “compassionate.”)Big Lies confronts right-wing slander and bias with a long-awaited, badly-needed counterpunch to the deceptions that have plagued American politics for a generation."
74,The Lies of George W. Bush,,l,0.801199,3.9,David Corn,"“Get ready to get mad. Corn has cut through the spin and crafted an important and powerful challenge to Bush and his crew.” —Molly Ivins “David Corn’s The Lies of George W. Bush is as hard-hitting an attack as has been leveled against the current president.” —Los Angeles Times “George W. Bush is a liar. He has lied large and small, directly and by omission. He has mugged the truth–not merely in honest error, but deliberately, consistently, and repeatedly.” In this scathing indictment of the president and his inner circle, David Corn reveals the deceptions at the heart of the Bush presidency. With wit and style, Corn details how the Bush administration has consistently lied to the American public to advance its own interests, from mischaracterizing intelligence to whip up support for war with Iraq to misrepresenting the possible consequences of his supersized tax cut and offering false claims to push a radical agenda on crucial issues across the board. In this unflinching work of hard-hitting journalism, Corn explains how Bush has managed to get away with it and explores the danger of presidential deceit in a perilous age. This paperback edition also includes an up-to-date analysis of the aftermath of the war with Iraq."
75,Worse Than Watergate,,l,0.7883,4.2,John W. Dean,"The former cousel to President Nixon provides a stinging critique of the current Bush administration, its obsession with secrecy, and its willingness to deceive the American people, emphasizing the president's emphasis on image over substance, mistrustful personality, imperial governing and flawed decision making, and his abuses of national security secrecy. 75,000 first printing."
76,Plan of Attack,,n,0.679622,4.1,Bob Woodward,"Plan of Attack is the definitive account of how and why President George W. Bush, his war council, and allies launched a preemptive attack to topple Saddam Hussein and occupy Iraq. Bob Woodward's latest landmark account of Washington decision making provides an original, authoritative narrative of behind-the-scenes maneuvering over two years, examining the causes and consequences of the most controversial war since Vietnam. Based on interviews with 75 key participants and more than three and a half hours of exclusive interviews with President Bush, Plan of Attack is part presidential history charting the decisions made during 16 critical months; part military history revealing precise details and the evolution of the Top Secret war planning under the restricted codeword Polo Step; and part a harrowing spy story as the CIA dispatches a covert paramilitary team into northern Iraq six months before the start of the war. This team recruited 87 Iraqi spies designated with the cryptonym DB/ROCKSTARS, one of whom turned over the personnel files of all 6,000 men in Saddam Hussein's personal security organization. What emerges are astonishingly intimate portraits: President Bush in war cabinet meetings in the White House Situation Room and the Oval Office, and in private conversation; Dick Cheney, the focused and driven vice president; Colin Powell, the conflicted and cautious secretary of state; Donald Rumsfeld, the controlling war technocrat; George Tenet, the activist CIA director; Tommy Franks, the profane and demanding general; Condoleezza Rice, the ever-present referee and national security adviser; Karl Rove, the hands-on political strategist; other key members of the White House staff and congressional leadership; and foreign leaders ranging from British Prime Minister Blair to Russian President Putin. Plan of Attack provides new details on the intelligence assessments of Iraq's alleged weapons of mass destruction and the planning for the war's aftermath."
77,Bush at War,,c,0.334061,3.9,Bob Woodward,Bush at War reveals in stunning detail how an untested president with a sweeping vision for remaking the world and war cabinet members often at odds with each other responded to the September 11 terrorist attacks and prepared to confront Iraq. Woodward's virtual wiretap into the White House Situation Room is the first history of the war on terrorism.
78,The New Pearl Harbor,,l,0.30096,4.2,David Ray Griffin ,"Taking to heart the idea that those who benefit from a crime ought to be investigated, here the eminent theologian David Ray Griffin sifts through the evidence about the attacks of 9/11 - stories from the mainstream press, reports from abroad, the work of other researchers, and the contradictory words of members of the Bush administration themselves - and finds that, taken together, they cast serious doubt on the official story of that tragic day"
